0 0 8770
0 1 9317
0 2 9939
0 3 9010
0 4 8972
0 5 586
0 6 7842
0 7 5348
0 8 387
0 9 1847
0 10 1339
0 11 7571
0 12 9946
0 13 3015
0 14 6748
0 15 1011
0 16 5577
0 17 5442
0 18 4151
0 19 469
0 20 6684
0 21 303
0 22 2158
0 23 4822
0 24 7622
0 25 4353
0 26 298
0 27 6068
0 28 6668
0 29 1454
0 30 1023
0 31 5351
0 32 3775
0 33 9415
0 34 6173
0 35 2303
0 36 2219
0 37 598
0 38 6818
0 39 784
0 40 3407
0 41 1398
0 42 8621
0 43 9385
0 44 5755
0 45 8543
0 46 6531
0 47 1976
0 48 9112
0 49 8748
0 50 3627
0 51 7595
0 52 744
0 53 6805
0 54 5777
0 55 3523
0 56 6213
0 57 8903
0 58 3376
0 59 4556
0 60 4385
0 61 8721
0 62 2003
0 63 1236
0 64 8600
0 65 6511
0 66 6605
0 67 962
0 68 9220
0 69 8336
0 70 6600
0 71 9664
0 72 680
0 73 8345
0 74 829
0 75 1038
0 76 5117
0 77 2839
0 78 1517
0 79 5361
0 80 8038
0 81 6524
0 82 4558
0 83 8752
0 84 4136
0 85 9875
0 86 9177
0 87 1550
0 88 9167
0 89 3373
0 90 1614
0 91 890
0 92 9400
0 93 9895
0 94 9212
0 95 9775
0 96 9713
0 97 8738
0 98 1430
0 99 1901
1 0 2126
1 1 9517
1 2 8835
1 3 3488
1 4 9565
1 5 1627
1 6 5663
1 7 6764
1 8 4401
1 9 598
1 10 8466
1 11 3272
1 12 7250
1 13 576
1 14 4476
1 15 7798
1 16 9241
1 17 1928
1 18 6095
1 19 343
1 20 3541
1 21 2014
1 22 5016
1 23 7693
1 24 715
1 25 2830
1 26 7251
1 27 8062
1 28 7610
1 29 4514
1 30 4395
1 31 7389
1 32 2550
1 33 340
1 34 1068
1 35 2257
1 36 8377
1 37 8115
1 38 6202
1 39 6843
1 40 7776
1 41 4496
1 42 4607
1 43 2997
1 44 2681
1 45 9406
1 46 1291
1 47 8788
1 48 9656
1 49 5039
1 50 2612
1 51 2692
1 52 1049
1 53 6430
1 54 7057
1 55 1370
1 56 5128
1 57 9363
1 58 9603
1 59 8820
1 60 4981
1 61 7438
1 62 7849
1 63 393
1 64 332
1 65 312
1 66 4239
1 67 3039
1 68 2647
1 69 2114
1 70 4477
1 71 9342
1 72 3813
1 73 4881
1 74 1615
1 75 4400
